State,Month and Year,Workforce Size,Unemp Size
D.C.,12/1/2019 0:00,411233,20426
Florida,12/1/2019 0:00,10397884,264725
Georgia,12/1/2019 0:00,5148163,148846
Hawaii,12/1/2019 0:00,667325,14982
Idaho,12/1/2019 0:00,888452,25372
Illinois,12/1/2019 0:00,6377232,220397
Indiana,12/1/2019 0:00,3359406,99811
Iowa,12/1/2019 0:00,1745731,51293
Kansas,12/1/2019 0:00,1492699,42840
Kentucky,12/1/2019 0:00,2073838,81086
Louisiana,12/1/2019 0:00,2091000,102981
Maine,12/1/2019 0:00,688899,19920
Maryland,12/1/2019 0:00,3261324,98116
Massachusetts,12/1/2019 0:00,3822997,90442
Michigan,12/1/2019 0:00,4922109,174864
Minnesota,12/1/2019 0:00,3123709,108186
Mississippi,12/1/2019 0:00,1279977,66922
Missouri,12/1/2019 0:00,3096892,105397
Montana,12/1/2019 0:00,531156,19339
Nebraska,12/1/2019 0:00,1033276,27581
Nevada,12/1/2019 0:00,1550143,52275
New Hampshire,12/1/2019 0:00,773044,17574
New Jersey,12/1/2019 0:00,4547131,164246
New Mexico,12/1/2019 0:00,966863,43421
New York,12/1/2019 0:00,9468280,351928
North Carolina,12/1/2019 0:00,5070827,168255
North Dakota,12/1/2019 0:00,398298,8852
Ohio,12/1/2019 0:00,5776856,218927
Oklahoma,12/1/2019 0:00,1837940,58211
Oregon,12/1/2019 0:00,2089779,61165
Pennsylvania,12/1/2019 0:00,6524296,295120
Rhode Island,12/1/2019 0:00,558770,17797
