Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2018,southeast,Tennessee,Nashville,100,23.25,6.7,51.23,5.9,31.76,2.7,38.07,1.2,35.73,0.6,30.22,1,21.76,0.6,46.07,4.7,24.61,1.6,29.53,6.6,35.6,2.3,15.51,2.3,18.58,9.6,11.06,2.4,13.19,2.6,12.99,9.4,20.17,16.4,18.4,0.1,16.8,3.3,20.65,4.2,22.57,7.4,18.51,8.5,17.06
May 2019,southeast,Tennessee,Nashville,100,23.98,7.1,52.87,,31.92,2.8,37.71,1.2,35.58,0.7,30.49,1.1,21.67,0.7,45.65,4.7,25.49,1.5,29.2,6.5,35.74,2.9,15.05,2.3,19.19,9.5,11.38,2.4,13.89,2,14.1,9.4,20.74,14.1,19.49,,,3.4,21.46,4,22.62,6.9,18.93,10.3,16.74
May 2020,southeast,Tennessee,Nashville,100,25.08,7.6,54.22,6.6,32.13,3.2,38.04,1.2,36.16,0.8,33.04,1.3,22.22,,45.94,4.6,25.67,1.6,28.83,6.6,37.87,2.9,15.36,2.3,20.29,8.4,11.62,2.3,15.01,1.8,14.24,9,21.47,14.3,19.81,,,3.6,22.05,3.8,23.79,6.6,19.67,10.6,17.57
May 2019,southeast,Florida,North Port,100,22.13,4.8,50.12,4.5,34.38,1.5,40.09,0.8,34.87,0.4,31.86,0.9,22.48,0.8,47.97,4.1,22.23,1.2,,6.9,37.26,5.7,15.2,2.1,22.58,12.2,13.85,3.9,15.28,2.8,15.53,11.7,18.77,13.5,18.42,0.2,12.62,6,19.96,4.5,20.84,4.1,17.55,7.3,15.53
May 2020,southeast,Florida,North Port,100,23.16,5,50.48,5.1,34.72,1.8,39.99,0.9,34.72,0.4,35.62,1,23.71,0.8,,5,22.36,1.2,,6.9,38.89,4.4,16.5,2.1,22.15,11.2,13.82,4.2,15.16,3,16.97,11.2,19.66,13.3,18.79,0.2,12.92,6,20.39,4.7,22.22,4.2,18,7.2,16.4
May 2019,southeast,Florida,Ocala,100,19.06,3.4,41.87,3.1,27.9,0.8,32.21,1,31.71,0.3,24.4,1.3,20.17,0.6,30.51,,20.97,0.7,20.92,7.1,35.8,4.5,14.46,3.1,20.79,11.2,11.58,3.7,12.65,2.8,12.57,12.9,16.26,13,16.61,0.4,14.5,5.6,18.31,4.3,19.29,6.1,15.26,9,15.49
May 2020,southeast,Florida,Ocala,100,20.22,3.6,45.46,3.1,29.97,0.7,30.44,1.1,32.65,0.3,26.78,1.4,21.11,0.6,32.61,,,0.7,22.81,6.8,38.11,4.5,14.79,3.3,21.72,9.7,12.2,3.3,13.35,2.6,13.2,12.7,16.87,13.4,17.11,0.3,15.32,5.5,18.75,4.4,19.34,6.3,16.2,10.2,16
May 2018,southeast,Florida,Orlando,100,21.6,4.9,51.67,5.7,32.38,2.8,39.27,1.4,37.1,0.4,31.74,0.9,21.1,0.9,41.43,4.8,22.73,1.6,25.16,5,37.32,2.4,15.08,2.5,17.82,12.5,12.43,4.7,12.36,3.7,12.71,12.1,17.94,15.9,16.96,0.1,12.05,4.4,19.88,3.8,21.29,3.1,16.43,6.4,17.17
May 2019,southeast,Florida,Orlando,100,22.18,5.5,50.63,5.7,33.06,2.9,40.42,1.4,38.38,0.4,32.57,0.9,21.4,0.9,40.06,4.7,24.2,1.6,25.8,4.9,35.51,2.8,15.22,2.6,18.34,12.7,12.45,4.6,12.75,3.3,13.77,11.4,18.48,13.9,18.05,0.1,12.51,4.6,20.56,4,21.73,3.2,16.94,7.9,16.99
May 2020,southeast,Florida,Orlando,100,23.33,5.4,52.49,6.4,34.31,3.1,40.24,1.6,39.99,0.5,32.3,1,21.83,0.9,41.75,4.9,24.72,1.5,27.23,5.5,35.66,2.7,15.16,2.5,19.55,11.2,12.63,4.2,13.72,2.8,14.18,11.2,19.22,14.1,18.68,0.1,14.09,4.9,20.94,4.2,22.57,3.3,17.62,8.2,18.1
May 2018,southeast,Florida,Palm Bay,100,23.53,4.4,53.02,4.9,33.81,4.5,43.69,4.4,42.62,0.5,34.7,1.1,19.65,0.6,46.81,4.9,20.92,0.8,23.43,6.9,42.15,3.3,14.91,2.7,21.1,10.6,11.78,3.3,12.42,2.6,13.15,12.1,16.69,14.9,16.85,,13.2,4.5,20.33,4.3,19.95,4.7,18.42,3.8,15.9
